code,level,title,href,admin_path,parent_code,parent_title
1.9,2,"1.9 Thiết lập chiết khấu, COD",/ld/unit-admin/thiet-lap-chiet-khau-cod,/admin/ld/unit-admin/thiet-lap-chiet-khau-cod,1,1. Quản trị đơn vị
1.10,2,1.10 Import excel,/ld/unit-admin/import-contact,/admin/ld/unit-admin/import-contact,1,1. Quản trị đơn vị
1.11,2,1.11 Cấu hình Facebook đơn vị,/ld/facebook/cau-hinh-don-vi,/admin/ld/facebook/cau-hinh-don-vi,1,1. Quản trị đơn vị
1.13,2,1.13 Tiện ích,#,,1,1. Quản trị đơn vị
1.13.1,3,1. Quản lý số blacklist,/ld/unit-admin/phone-blacklist,/admin/ld/unit-admin/phone-blacklist,1.13,1.13 Tiện ích
1.14,2,1.14 Quản lý hóa đơn điện tử,#,,1,1. Quản trị đơn vị
1.14.1,3,1. Danh sách cấu hình,/ld/unit-admin/danh-sach-cau-hinh-hddt,/admin/ld/unit-admin/danh-sach-cau-hinh-hddt,1.14,1.14 Quản lý hóa đơn điện tử
1.15,2,1.15 Thương mại điện tử,#,,1,1. Quản trị đơn vị
1.15.1,3,1. Danh sách kết nối cửa hàng,/connect-shop-list,/admin/connect-shop-list,1.15,1.15 Thương mại điện tử
1.15.2,3,2. Danh sách kết nối sản phẩm,/connect-product-list,/admin/connect-product-list,1.15,1.15 Thương mại điện tử
1.15.3,3,3. Danh sách đơn hàng lỗi,/error-order-list,/admin/error-order-list,1.15,1.15 Thương mại điện tử
2,1,2. Marketing,#,,,
2.1,2,2.1 Marketing dashboard,/ld/marketing/marketing-tac-nghiep,/admin/ld/marketing/marketing-tac-nghiep,2,2. Marketing
2.2,2,2.2 Bảng xếp hạng,/ld/marketing/bang-xep-hang,/admin/ld/marketing/bang-xep-hang,2,2. Marketing
2.3,2,2.3 Hồ sơ khách hàng,/ld/marketing/danh-sach-khach-hang,/admin/ld/marketing/danh-sach-khach-hang,2,2. Marketing
2.4,2,2.4 Kết nối landing - website,#/ld/unit-admin/ket-noi-landing-website?tid=2,,2,2. Marketing
2.4.1,3,1. Kết nối landing,/ld/unit-admin/ket-noi-landing-website?tid=2,/admin/ld/unit-admin/ket-noi-landing-website?tid=2,2.4,2.4 Kết nối landing - website
2.4.2,3,2. Kết nối website,/ld/marketing/cau-hinh-ket-noi-du-lieu?tid=3,/admin/ld/marketing/cau-hinh-ket-noi-du-lieu?tid=3,2.4,2.4 Kết nối landing - website
2.5,2,2.5 Kết nối facebook,#/ld/marketing/cau-hinh-ket-noi-du-lieu?tid=1,,2,2. Marketing
2.5.1,3,1. Tạo nguồn dữ liệu,/ld/marketing/cau-hinh-ket-noi-du-lieu?tid=1,/admin/ld/marketing/cau-hinh-ket-noi-du-lieu?tid=1,2.5,2.5 Kết nối facebook
2.5.2,3,2. Kết nối Fanpage Facebook,/ld/facebook/quan-ly,/admin/ld/facebook/quan-ly,2.5,2.5 Kết nối facebook
2.5.3,3,3. Danh sách bài post Facebook,/ld/facebook/danh-sach-post,/admin/ld/facebook/danh-sach-post,2.5,2.5 Kết nối facebook
2.6,2,2.6 Tiện ích,#,,2,2. Marketing
2.6.1,3,1. Import excel,/ld/marketing/import-excel,/admin/ld/marketing/import-excel,2.6,2.6 Tiện ích
2.6.2,3,2. Nhập data thủ công,/ld/marketing/nhap-contact,/admin/ld/marketing/nhap-contact,2.6,2.6 Tiện ích
2.6.3,3,3. Kết nối phần mềm thứ 3,/ld/marketing/ket-noi-doi-tac,/admin/ld/marketing/ket-noi-doi-tac,2.6,2.6 Tiện ích
2.6.4,3,4. Quản lý số seeding,/ld/marketing/danh-sach-seeding,/admin/ld/marketing/danh-sach-seeding,2.6,2.6 Tiện ích
2.7,2,2.7 Báo cáo,#,,2,2. Marketing
2.7.1,3,1. Báo cáo doanh số marketing,/ld/marketing/bao-cao-doanh-so-chi-tiet-marketing,/admin/ld/marketing/bao-cao-doanh-so-chi-tiet-marketing,2.7,2.7 Báo cáo
2.7.2,3,2. Báo cáo doanh số,/ld/marketing/bao-cao/bao-cao-doanh-so,/admin/ld/marketing/bao-cao/bao-cao-doanh-so,2.7,2.7 Báo cáo
2.7.3,3,3. Báo cáo doanh số V2,/ld/marketing/bao-cao-doanh-so-v21,/admin/ld/marketing/bao-cao-doanh-so-v21,2.7,2.7 Báo cáo
2.7.4,3,4. CEO Dashboard V2,/ld/marketing/ceo-dash-board-v2,/admin/ld/marketing/ceo-dash-board-v2,2.7,2.7 Báo cáo
